Address,Nii Balance
0xb2e7dcc6d24047b29583eae70e02c6933c202c76,465653528.001411497592926
0x00d7cd5fe6f0150ac273571425b673c7caf14dc2,152908794.170040726661682
0xa4793e13f77bf49dea75423ecc858829d4262a4b,133410863.155648782849312
0x75a5602c51ee5cea69d92966c9026d9e194811a5,112367860.953360587358475
0x4c12b2e42cda23a526d77a4f7947202f28f190ee,70200000.006854027509689
0x3b87a94ea3d8078cd55f234d83ed2ca365f500a5,68673295.951526939868927
0x3d1f07ab1c332148819215c8f0748fbb64903d11,65000000.000000000000000
0x40a09fd780272d7c36dff327837aac398d627693,65000000.000000000000000
0xbdd2d799ce3e1d0e4987448dcb1d054962a855b6,60080472.939617082476616
0x1ce6d07ee9acdbfabad678745b50d0c236a705d1,59285070.089999996125698
0x95880f2e70203f759168665feb6948e81fe5df77,56966517.560988359153271
0x0bbec32ed551c9cf2820f4bdf1d6d4ad12b8afe5,56550000.005649410188198
0x130de2dfb57bda4c1e15b6fec3c1a0897aa3b6d5,56550000.005649410188198
0x538527f25817ab925e7132939124ece196c30127,56550000.005649410188198
0xd2b0226b8d3f39540ca31406445862268781bed6,56550000.005649410188198
0x2ec39af705e0f99d6b53108240907fa490a0ba87,51570903.056042760610580
0x6618cae22d63d45fe64b8c193c5d3b1d70e31cff,39920120.000000000000000
0xe8abdc7454cb38b3b951cc2bc1815d481b5b7300,39243463.823049344122410
0x77cf26dccbcd73beef4a3c3e2a0b336968554f84,39044033.937635324895382
0x2e390fa20fda7900463718bcab863d89660b81c7,28691679.879999998956919
0x006541705ef9cc77042d99b569bae14ae8388cf6,28579281.614324864000082
0xf38f3bc198eceb5f4a21b0d6ff24ace3f97a4e41,25942325.831372894346714
0x4f1e2c5d32b995bbd1b178c41f767f52e95338a1,25781049.946184676140547
0xfe466e51cdb7ef64685ff4d466012cf860b92955,25780990.853573370724916
0x502fda98eb8e2b0b7174be873bb17c4e4f580616,25780965.852853201329708
0x3a57f30a4bd6f8da2a73e67f33252fa7a553fded,25780922.669791094958782
0x8ddfa3bdf562c9c45f368e0389cb71cb9a42226b,25780895.396278183907270
0x6e250312b7ee2b9a257c2cea896cb6f60065fae6,25780872.668350759893656
0xccbaadaaf2b134676ce7ced2b1f9cbefe3e5d32a,25762251.677411224693060
0xf26761ec158149127a055562dd35b2915028020e,25762219.858312826603651
0x2a702ce9994aa79c7a21db715d0b04a64f8d6b36,25762165.311287008225918
0xebb5734e47dffd43adffc77c4c897826c8250539,25762078.945162791758776
0xc1cb1d8f8cd6888a409ed05ff47a85170411bf88,25762031.216515198349953
0x06d99516a405635fbc7d89585cfd8d896f84ddc1,25753980.984621163457632
0x2ef3ef605e7a0d55d4392746c5865db4ee9905a6,25753933.255973570048809
0x0eb32b322ea5144f02a5e0337f98025e350783af,25753710.522284802049398
0x85ca35451c752f88c41ead896083700ea9ab3013,25753603.795368243008852
0xa3910b7904b0c1b2ca6997713498d040b306548c,25753418.240923702716827
0xb86a0090b07025e1f353d4b2cb73d64fc5faf301,25752609.400866787880659
0x79d49b1bf1bd3911463545f8f0d1b8f5155ed32d,25752554.853840962052345
0x44c76c2dcf3d200f30200fff82c49c579ba49ea5,25752502.579607885330915
0xab245ea58a115255a68795f66472b6bb6cfbeac2,25752470.760509487241507
0xe120db3cc6d3bf22362b340c14e9e2941d85640b,25752398.031141731888056
0x461005498962cd5b1e0c48cdd5c3174aeba27117,25752385.484115909785032
0xcad055642d420880782c1847dc02a5ace9ba054f,25752126.385743260383606
0x5ec244d39f7d9f384da86776cccffb0ab8bdba74,25751919.561603691428900
0x4292d2b13dbc4f35e5417b04e76f3871ed81aa9e,25751871.832956094294786
0x61d07f4dfec6b3073a387547843e9775f092442b,25032947.577768467366695
0x4e1763e8916e11b2dd6fdd70ab4aab31faff3c53,22578906.868211474269629
0x577a3f3a6917017a70ddb09c2bd4d6f72244566c,21231374.789791665971279
0x35abd2aa000932332638bec743044e4ff8f89c97,21203079.794732149690390
0x9def74cbca2af865b2f9c623135c931c6226de3e,19048053.816692784428596
0xcc9e50602a5086de3aae5ca48bc849f110cea9a3,19004609.247440595179796
0x180bd6dd1b3a9890cd1ee7636627bd3606e8476b,18899053.000000000000000
0x55c8ba4b65d690bc5cfa88259e8a27faa4eaa72b,17451327.000000000000000
0x87063c7d3c2b6e4a96fc26672e227ca9fd17ca29,16053231.455189775675535
0xd50b6be128e32a7eadd97d08a00b4825886a6de1,15985822.553388888016343
0x7c1e74b13d8eb3fbc2dcb349daeb42890bead839,15166108.981839027255774
0xa35a6a96e9b400c4ded39514d0e65773ca0a3607,15000000.000009115785360
0xb8d187a0e3c7aab91d2e0ae2c274bc2614e16cb9,14931037.099263677373528
0x69a4459dfb71552c189e3c017ca6576eeec87d57,14928483.690020591020584
0xaadba39f0692135f5a566b930fd73878a5560a2b,14488241.068906240165234
0xb8108d132cdc14695e2c2248387a041e99ff6acc,13120813.514904454350471
0xe17504b0b5686dc6cba47f453ffa62a28c18025d,12890550.473812505602837
0x870fb343644e10ca5a783eb32c379b36a77b63a1,12876155.740977702662349
0xe622021d960624c84fd1c6e44534286ed7b3c98f,12876023.918998636305332
0xce2736e5732414873fd0c1aec816cc9f08fb36ac,12875901.188190538436174
0x552b185736d17966e3320f4b27f6326bacb4fc6c,12869288.177565129473805
0x099950694b7e53602624299ec70b37f896ad35e0,11431712.645729904994369
0xda8ae3333f86fd7e9906e979abf336229a49f219,11360900.330710086971521
0xa7d2f3ea09390d27fb26e14443ef250e63caf745,10749182.784978449344635
0xff202de10fd8fb4fb6fa79f51544f6d0bfe1f73a,10621195.103341640904546
0x10c00bfe152ff45d99bfb9a5da1859b67d007f0d,9981423.527880620211363
0x180df15230387f0f26898a0a4e774e193bbcb503,9340948.238804431632161
0xb61636baff6824fe2506f38c1c0fc1c11b0e32a5,9002473.708512328565121
0x8fe08b3f685f901bce13d6a47336a93314eb6bea,8906575.645208325237036
0x7982de74f0b6bc7d2203ab70d73506b8ae0edcdb,8858434.128279456868768
0x2b31a53ddd70bbbe4d1afdd427b4ef49f486ba07,8604172.058027660474181
0x85b4405607a9dd7b356e0e57013faefea72daed0,8573355.109352368861437
0x570e28430067952c6c1898e5ddabc3fe123038dd,8116756.044433828443289
0x17e86a414f29a9a7b10365206fc368fe6d522b11,7968189.506889916025102
0x3df8d6e97570b169cdd490dd5cc5a69f10af8369,7578259.674061225727201
0xb14ad6f6b8dd617f0de64d890a27f8d1aba4d35b,7502061.423760332167149
0xbdae7b15bf8fd2ec6eacf3fa908e9d8713da5dfb,7502061.423760329373181
0x177dfb15e596852539e270e153d4a106ad1a9757,7144820.403581199236214
0xc9bd9e820befe3f0f234d599d79dd3463a9a35be,7144820.403581196442246
0xabda4d7ebbc2b1fc1195b55a619ac752983bfb6b,7022753.178193324245512
0x66cad509c9d7e79ff5d3dc2b27a409dcf84742a0,6963199.069037755019963
0xc2c73e19670336e34a049b7a6114516e81037514,6598839.559475831687450
