Address,Nii Balance
0xa4793e13f77bf49dea75423ecc858829d4262a4b,235934860.077716179716111
0x1c89edadd9215f3623a5bf02f5bb0e990c627069,8377683.300119754772611
0x1266bc91e136333d977c5ac56ea9cda1deb32c01,6551429.004405440069058
0xbdd2d799ce3e1d0e4987448dcb1d054962a855b6,6069540.424274439440413
0x3a8b567b7ca29bd79e617103b333c43d45c4ef76,5688881.311871421008992
0xecd221609bce2c468ddc186a0ef806d35b1ebea8,4209470.823442313450193
0x75a5602c51ee5cea69d92966c9026d9e194811a5,4207767.304985401387413
0x5ef5be70a3c591f55a29a2d644cabb8e7f15850e,3855273.722222181463386
0x4efe20c04a075ed05ea4909fa74d506b40ff40c9,3533710.279243693449156
0x6993bc74575eb01c46699a3fd4647d40e5f97c21,3230721.7352704381072
0xe7c95ff408c38a96fee5dd3316eff52a99d9e8bf,2890010.929417221369624
0x52a6c99edf5a8b84ff658b80954b370edf2bc08a,2719643.880873913178691
0x73105112fada6412a375ed7bcd37b8b523a783ac,1931968.414530121001056
0x752d447b4cbee1c2b55708afd7269af7c9ec74f9,1857722.07280873138535
0xc1b968e63be634e1d0c6351c68fed94f54b93a13,1803146.527302426730007
0xadd31cc41500bd29d658a80ef51e77b21f6bf9c1,1586623.172218892007399
0x69856d15cb8887e2e1e003f4d12b5a0c5a4b7505,1328135.845100446409767
0xa21796298fc3749f605465fe692aa38f7b25cfe6,1326297.818249543321124
0x552b185736d17966e3320f4b27f6326bacb4fc6c,1298410.302982917992784
0xd00463fb053557999d832b7f9c35459ef47db0c7,1228662.006625154025547
0x79cdb8174e097db3a391d29aefc988581456cf00,1170345.404368302264638
0x1afa664a52d1f0df0f736a405327222ce07370ff,1013322.572903818548181
0x9def74cbca2af865b2f9c623135c931c6226de3e,965953.55226445048849
0x162ee3b1a16f1edb0e9bc7e1b3b97cb06c2489ec,948410.317274995583463
0x769d2f42978b1d150f4c3172fe57159e345a1be8,919776.810569683976407
0x2c64656b75e23c076d43c424ec61c90bd48e3114,903542.241945542867162
0xf372a0b130054525a384ef72a478c249ec3bde99,892339.504634217252741
0x0212bf901a01dbe60b0fa0ff4f48e9169ad90c0b,836746.838983526707257
0x85b4405607a9dd7b356e0e57013faefea72daed0,832533.610186094333156
0x72966dafdf4dcc0b128fe4f8186a29027cdcff95,792773.994992033575966
0x870ca5c4319f8e534e2b5eb3ef0d82d6d4279e5d,741828.887915598845883
0x59fa29f3dc7e1cbbd2ba549a2a1bab3212bb6385,725824.385271125927177
0xe0c20053d20c8d6d6de243af2093b222eb3e9c03,674074.526650440871865
0x102909c23c0e9499e1a9fc7352bd870c8a9981cc,623691.521060754993588
0x1cdd957c68a6d139d9a73b330aa05d1ccc70294b,616835.11569733336025
0x8235178f39f7fe9bf67e30502384bd743c46d363,575585.85591215887675
0xb0b5903b0313bdc8c1be8bb5a248403a133b3602,535624.280159569380625
0x35abd2aa000932332638bec743044e4ff8f89c97,501258.372252503399968
0x17e86a414f29a9a7b10365206fc368fe6d522b11,475046.508707710810453
0xc242cd68db93b7e76dd49d07f41c42d56573b354,469738.484682183676881
0x15ec70d878610fda7b16ab0c024b10957f8b4f9d,458365.823219289972838
0xdd408817e1f2d3d1a8e87aeaf7fe6931bebff2d4,458365.823219289972838
0x4d14c08b69fe20785040f6c50c172e41675cb359,458365.823219289972838
0x41ed27f154ea93578af614b92efc26dc8027f650,458365.823219289972838
0x4e4151a5bee276641eb4a701416886f91391bb6c,458365.823219289972838
0xe18fca0ce7cd4c256eeede50c66409d5c0ecde10,458365.823219289972838
0xfbc6dea17a1e53528ff89ae8e72b10231109f91a,458365.823219289972838
0x2ce340a04d00dc17f92f9dd91d1950824def3c0e,458365.823219289972838
0x210874666076a5a34a1601c6e6843a1bad5d0318,446993.161756396268795
0x57381401a323e4ef2a7b97663980b905eb425b9e,440425.207406006283352
0x287a09841f678b5f4ad4f97817fcef5202d9dd9d,438186.195781962741329
0xbe22ed21584db4bab57f466fd355a1adb9a5ff3d,432420.58794272638947
0xaa846de3b402bd72cbd466c5338e0b8b1e75d018,432420.58794272638947
0x50a0effdd64c8bdd9a3fc35dc88e3c432a7386a7,432420.58794272638947
0xe1cdb3fa3edf41d6dc890f5403f9de695209428e,415597.08904164629277
0x66b3865167d22c60aac7ce7b18fc9632eeb2df33,358385.859081052204328
0xc95b1e69f0bf869e1db30dd4e133c9e72732d3de,351085.329692572086257
0xfb384cb39f995353f71b8af29f09fd976e5a0d82,350001.874896971227023
0xeb26dfc043d3bd288c2569b37a804768d5fb5faa,310681.081985773224638
0x4526416fd85bdf61628a4042eb37b52674ce48c1,304207.883617708014992
0x8f5053b0dd4902ea9ce86c8d6684e42eae57e045,302694.411559908472629
0x1e67d23e807ed7856e2bfa0519b1efaeee848e9e,302538.898702464670128
0xff202de10fd8fb4fb6fa79f51544f6d0bfe1f73a,275158.368586464452636
0xceb0c421672d815ef77686798160ed4818123600,215981.16560377318607
0xd9407ad5ee0846e0ee6f529cc20d9cdb613130bd,177583.163067738089462
0xe5984057fa30c7de54e291d7ecbd767fc802fcfa,165182.040247100988
0xc945333aea2adc1582f27c233ca506fe5d0e674b,164083.460599007967984
0x812ded039db8026df8b86b1f43991cd3cd51e237,161203.62773590976108
0xb675b6996785dab61e806fef87f19f7213d4a63f,160598.41183840092469
0xe2e09f07b65bcae3944e7d2830eb1cda6ce03b9d,148841.599455472183875
0xdeb33d36edefca64a69f82b70822ccb833f04811,148467.143703409339433
0x3d83e81239665e4d2458e1da50a6b29b3137056f,145293.317548756066861
0x1cca54d13179f67fea602ad18b9cf0d389ff2944,144140.19598090879649
0x77070465c6feec86202098c6f24b132d15464cfe,144140.19598090879649
0x3b35a6bfeaeff070d7c3bd340246dc242b68d793,144140.19598090879649
0xc8f579c015abc407e9ae6d36398ebba02f495a63,141859.086547291982233
0xf7efaefa54586c1c7ff1bb6da961483405d2228e,132205.54630790512714
0xf2d56e50cf5e3da8781b973408649b42950fad67,124561.990802279792829
0xcb3afd01330a034fcb5bbd84d2317f4cbfaad291,120318.686642837240454
0xc3cc85ff7cafb00d5450047adcba62c4a374bdc9,119298.13395062784034
0xee88442e9d2d3764ac7ab60b618cd73cd9a5fa51,118204.876864038503047
0xd58280c2350170bf905912a2aa02b840719b5c2c,103453.187400681905558
0x45be10ac67c83516a712c34c6e90b22c2f408b7e,102152.303829045861013
0xf27228147cf3b2b723d03bf30bc833238e5bae40,98663.964148932071197
0x1b7816c5618699a77afb7f55e594e6f89a1b27ef,96719.164893557589162
0x80a21a86555aa95ab467915ec42c0d77391798e7,87609.114853144942402
0xa39c0c5580d93e3e7c4b6f5b5919bab6840e427d,82798.102972084788154
0xa65896b0cac56ff61ed33c0767227d60c97321d7,80754.674487694724989
0xcdcf24e5da2e233bc7ffdd7b02746ecff6639956,80646.674756023386941
0xf4609d257c19b7d125d14c3bc74a5ef1492563cc,76873.653172800862686
0x588dce6cb745bdcda09b4802dd50fbab93893b32,73223.219558301668616
0x278ed53713b6c2a9294634b0b075759239b8aaed,72070.097990454398245
0x5936e2f38e189b0e9bc0c6adfe181487b8ee774e,72070.097990454398245
0xdff2167f6baf828c38c5392e5b03d7632056d4c9,72070.097990454398245
0xf52c9539e37aafef797e351e8543a9c59ce612af,72070.097990454398245
0xe9f18ef176223f7bdcd23c16326c99b11728bb71,72070.097990454398245
0xb995a065182ac95474eb309173db2000cccd14de,72070.097990454398245
0x9c7b6e627a395d880274f5ec2bb522b9697bbb90,72070.097990454398245
0x59d875e96fec8b3bf483f362dd53b58875d9d822,64567.714494916206032
