Address,Nii Balance
0xfA1644156bdC330cC8df279A84C3B33c87a464eA,121428752.57475722
0xB8108D132Cdc14695E2C2248387A041e99FF6aCc,55004974.424701385
0xa4793E13f77bf49dEA75423eCc858829D4262a4B,54048435.36291924
0xf38f3BC198ECEb5F4a21B0d6ff24Ace3f97A4e41,44003910.350678876
0x12A5548fA64483F0552bF69198C1d33Ee59aC105,43048657.615156285
0xC2c73e19670336e34A049B7A6114516e81037514,35754150.1313954
0xe8Abdc7454cB38B3B951cC2BC1815D481b5b7300,16179174.987858001
0xC5D8C4DddC5E9cB21f7e1AF1175dA93d02794723,14020821.567800567
0x17489f1D449Db1E74Bc13230eAaD07337e52bC8A,12847925.338589286
0x50127585bdd21bD19Cb4968CceF5cC5D62977365,12700516.376349939
0x2BE61271469a736e1FE1F75FB8FD24Ed9996675B,11540539.583064597
0x738BbA9e40E5651D407aD2204500C9EE286d0F5E,10720512.588327575
0x5d821e428c5a8193a70031ee5363D2179F1f816A,8901646.429883
0x1Caf67da2dcF33E3A82bEE4A9d77107CBDf8e788,8804310.71332933
0xB8D187A0e3c7AaB91D2E0Ae2C274BC2614e16CB9,8562148.925536383
0x27c428Fc61c19c7e8ae528ba0DdBEAA01623f749,6700144.367652953
0x89b754dF9d2bD896D7d34fDE97c0c6D3d655CC78,6550471.5137003865
0xC45de310D130Fef182129Be28fecbfa9d9ebd6C9,6372757.592270277
0xc29014D149AFcF93408752E986D70259CDD1d0D9,5978181.4243734665
0xbac89e5546c8a4f9E68E7d71f9DFD5D72c3d6024,5703668.0922203865
0xd3cC75450fdA6fA85D21d8707EF17317F891DeFF,5213397.345771042
0x5B75BA3E0309FDD0697b805abF311655864876B1,4714997.693662518
0xAD94Ea770FF4BCfDF823116780e0d7B0Ca033862,4624526.440961029
0x79757C00341514A76441C36c348F8A986Fd0f654,3657453.1998263905
0x5b6db5F302Fb19a947872D499D0005D7F4BB23af,3603240.4403931834
0x8fF51fD619bBa1feFd404D7B25459cd38dfb7032,3559053.6363519947
0x119b134E974e20Df79feA161B08970025e4D5325,2730293.075785137
