Address,Nii Balance
0x95880f2e70203f759168665feb6948e81fe5df77,29816622.011166472
0x1aec38688e9e504fe1e5137e7c92bb1b092faa15,950761.8930203762
0x5bb8bdd0057224700d4183a594e8cd0b9773f7e3,858812.2341910832
0xaa2e6cf773a62f194ccaf69e53608c91e4ad8a9a,662326.5306062003
0xf523f40af81d5d689468fafa5ad42df9a3dd3353,427607.9193936403
0xdd23a2debf80aefa2a5029f76ccf4d93e70ddcac,419278.4668973638
0x3f4d472d814ab920d320d457269dc85a358b2baf,117363.15349369704
0x767924a21b40e1ff960d66613b3bd1d7e27c2833,76195.46018516275
0x4676d6f83f6a318b65310765675ac4959e0a530c,75898.57156804927
0xc88f7ab67602ea3bdd2ce05679a8405acaf76664,69928.2800838166
0xae8159b04878578d8cad94e9af572a99586c06bc,5274.9723102781545
